,answer,question
10,別擔心！收狀的法院會將案件移送到有審判權的法院。 我國的司法制度採「司法二元制」，公法事件由行政法院審判；私法事件由普通法院審判。但是，考慮到民眾不一定清楚法院間審判權以及管轄權的劃分，所以，目前法律規定「職權移送制」，也就是收狀的法院，無論是行政法院或普通法院，都要依職權將案件移送到有審判權的法院，不可以直接駁回民眾的訴訟。,公法事件卻誤向普通法院遞狀，案件會被法院駁回嗎？
11,提起行政訴訟，原告要寫起訴狀，被告要寫答辯狀；上訴、再審，則要提上訴狀及再審訴狀。為了提供您更便利的服務，司法院已建置「司法院書狀範例」，您可以在此尋找並下載所需書狀例稿。如果有進一步的訴訟問題要直接洽詢，則可前往各行政法院訴訟輔導科洽詢訴訟輔導人員。,行政訴訟的書狀怎麼寫？有沒有範例可參考？
12,"公務員懲戒制度的懲戒對象，自然指的是公務員，但刑法、公務員服務法及公務人員任用法，對於公務員的範圍均有寬窄不同的規定。公務員懲戒法並未明文規定作為懲戒對象的公務員範圍，實務見解認為應該包括：
一、政務人員。
二、法定機關任用或派用之有給專任人員。
三、公立學校校長、兼任行政職務之教師。
四、公立學術研究機構兼任行政職務之研究人員、公立社會教育機構專業人員。
五、公營事業機構經國家或其他公法人指派在該機構代表其執行職務之人員。
六、民選地方首長。七、軍職人員。",公務員懲戒法有關懲戒的對象為何？
13,"提起行政訴訟，依照不同的訴訟類型，被告也會有所不同。

撤銷訴訟或課予義務訴訟：如果起訴前已提起訴願，則被告為：
  (1)駁回訴願時的原處分機關。 
  (2)撤銷或變更原處分時：為撤銷或變更的機關。
   
確認訴訟的被告為：
  (1)確認行政處分無效：無效行政處分之原處分機關。
  (2)確認公法上法律關係成立或不成立：如果由所確認法律關係的一方提起時，以他方為被告。 
一般給付訴訟：以原告主張有義務的人為被告。",我想提起行政訴訟，但不知道應以哪個機關為被告？
14,"行政訴訟事件應由哪一個法院管轄，原則上是採「以原就被」。也就是原告起訴時，要向被告所在地的法院提起訴訟，以保護被告利益，避免原告濫訴。 所以，如果以法人、機關或其他得為訴訟當事人的團體為被告，應向其公務所、機關、主事務所或主營業所所在地的行政法院起訴(參照行政訴訟法第13條)。 但關於公務員職務關係的訴訟，得向公務員職務所在地的行政法院起訴(參照行政訴訟法第15條之1)。因公法上之保險事件涉訟者，得向原告之被保險人、受益人之住居所地或被保險人從事職業活動所在地的行政法院起訴；原告為投保單位時，得向其主事務所或主營業所所在地的行政法院起訴(參照行政訴訟法第15條之2)。對於自然人的訴訟，則應向被告住所地的法院起訴，如其住所地的法院不得行使職權，則向其居所地的法院起訴。若訴訟事實發生在被告居所地，也可向該居所地的法院起訴(參照行政訴訟法第14條)。
 小叮嚀：

要特別提醒您，如果是因為不動產徵收、徵用或撥用所生的訴訟，是專屬不動產所在地的行政法院管轄(參照行政訴訟法第15條第1項)。如果是交通裁決事件，為便利民眾提起訴訟，除向被告機關所在地之法院起訴外，亦可向原告住所地、居所地、所在地或違規行為地之地方法院行政訴訟庭提起訴訟(參照行政訴訟法第237條之2)。
此外，在行政訴訟上，並沒有雙方當事人合意定管轄法院，也沒有因被告不抗辯法院無管轄權而為言詞辯論，使該法院取得管轄權的情形。",我可不可以在我家附近的行政法院起訴？
15,"從99年5月1日起，要向行政法院遞送書狀，除了親自到法院遞狀外，您也可以用傳真或是以電子郵件的方式遞送。
小叮嚀：
要特別提醒您，如果以掛號郵寄書狀，在計算起訴或上訴等法定救濟期間時，是以該書狀實際到達法院的時間為準，不是以投郵郵戳時間為憑。
各行政法院的電子郵件信箱及傳真如下：
行政訴訟文書傳真及電子傳送作業各法院窗口資料",提起行政訴訟要親自遞狀嗎？
16,,各級行政法院的轄區為何？
17,"提起一般給付訴訟或確認訴訟，行政訴訟法並沒有規定應於何時起訴。但如果提起撤銷訴訟或課予義務訴訟，您應該要注意：

在訴願決定書送達後的2個月內提起訴訟。
免經訴願程序時，應於行政處分達到或公告後2個月內提起。
如果是訴願人以外的利害關係人起訴，2個月的起訴期間從利害關係人「知悉時」起算。但從訴願決定書送達後，已過了3年，就不得再起訴。
向行政機關提出申請，而行政機關未於法定期間作為，且是免經訴願程序事件，其起訴期間自行政機關應作為期間屆滿後起算，已過了3年，也不得提起(參照行政訴訟法第106條)",起訴有沒有時間限制？
18,行政訴訟種類眾多，法律對於何種訴訟應給哪一個法院管轄，有一定的標準，原則上是「以原就被」。也就是原告起訴時，原則上要向被告所在地的法院提起訴訟，以保護被告利益。 至於詳細的情形，可以參考「要到哪個法院打官司」的說明。,我想提起行政訴訟，但不知道該到哪個法院起訴？
19,"對於公務員違法失職行為，只在下列兩種情形，才會將公務員移送公務員懲戒委員會懲戒：
（一）對於九職等以下的公務員，各院、部、會長官，地方最高行政長官或其他相當層級的主管長官，認其有違法失職行為者，得將該公務員直接移送公務員懲戒委員會審議。
（二）無論是九職等以上或以下的公務員，監察院主動調查或受理主管長官移送審查後，認為該公務員有違法失職行為應受懲戒，應予彈劾，移送公務員懲戒委員會審議。由於公務員懲戒制度並未設置檢察官，只有前述兩種移送懲戒的方式，公務員懲戒委員會依司法不告不理的原則，並不具有主動懲戒公務員的權力。",在什麼情況下，可以將公務員移送懲戒？
20,如果要提確認行政處分無效的訴訟，必須先向原處分機關請求確認無效未被允許，或請求確認經過30日後，該機關未為確定的答覆，才可提起訴訟(參照行政訴訟法第6條)，這就是一般所稱的「行政先行程序」。,提起確認訴訟，要注意什麼？
21,現行公務員懲戒制度採一級一審制，原移送機關或受懲戒處分公務員不服公務員懲戒委員會之審議，如有再審議之事由，得依公務員懲戒法第33條規定，移請或聲請再審議，以為救濟。,公務員懲戒委員會審議懲戒案件有幾個審級？不服該會的議決，有何救濟方法？
22,依照目前行政訴訟法規定(參照行政訴訟法第3條），行政訴訟基本上可以區分為「撤銷訴訟」、「確認訴訟」及「給付訴訟」三大類。在給付訴訟部分，可以再進一步分為「課予義務訴訟」及「一般給付訴訟」(參照行政訴訟法第5條及第8條)。此外，行政訴訟法亦另有規定「維護公益訴訟」及「選舉罷免訴訟」(參照行政訴訟法第9條及第10條）。,行政訴訟的種類有哪些？
23,目前公務員有違法失職行為時，主管長官大都逕依公務人員考績法之規定為記過或申誡處分，惟依公務員懲戒法第19條第1項但書規定，對於所屬九職等或相當於九職等以下之公務員，主管長官得逕送公務員懲戒委員會審議。因此，主管長官據此規定，又將該公務員移送公務員懲戒委員會再予懲戒，如公懲會再就同一行為，依公務員懲戒法懲戒，似有一事二罰之疑義，為解決此一問題，司法院及考試院會同發布之「稽核公務員懲戒處分執行辦法」第6條規定：「同一事件經主管長官已為處分後，復移送公務員懲戒委員會審議者，其原處分失其效力。」準此規定，主管長官原先所為之記過或申誡處分既失其效力，而以公務員懲戒委員會之議決為據，自不生一事二罰之問題。,主管長官對所屬公務員記過或申誡後，公務員懲戒委員會可否再予懲戒?
24,依現行公務員懲戒法第9條第1項規定，公務員懲戒處分有：撤職、休職、降級、減俸、記過及申誡6種。,公務員懲戒法規定的懲戒種類有那些?
25,一、上訴應向原判決之地方法院行政訴訟庭或高等行政法院提出上訴狀為之。二、上訴期間：　（一）提起上訴，應在第一審判決送達後之20日內為之。　（二）上訴有無逾越上訴期間，以行政法院收受上訴狀之時間為準。三、上訴狀應表明下列事項：  　1、當事人。  　2、原行政法院判決及對該判決上訴之陳述。  　3、對於原行政法院判決不服之程度，及應如何廢棄或變更之聲明。  　4、上訴理由；並應附具關於上訴理由之必要證據。  　5、行政法院。  　6、年、月、日。四、上訴理由：　（一）對於地方法院行政訴訟庭或高等行政法院之終局判決，非以原判決違背法令為理由，不得上訴；　　　　對於高等行政法院所為簡易訴訟程序或交通裁決事件訴訟程序之第二審判決，不得上訴。　（二）所謂「判決違背法令」，是指判決不適用法規或適用不當而言。　（三）有下列情形之一者，其判決當然違背法令：　　　　1、判決法院之組織不合法。　　　　2、依法律或裁判應迴避之法官參與裁判。　　　　3、行政法院於權限之有無辨別不當或違背專屬管轄之規定。　　　　4、當事人於訴訟未經合法代理或代表。　　　　5、違背言詞辯論公開之規定。　　　　6、判決不備理由或理由矛盾。　（四）對於簡易訴訟程序及交通裁決事件之判決，提起上訴，應於上訴理由表明原判決所為違背之法令     　　　　 及其具體內容，或依訴訟資料可認為原判決有違背法令之具體事實。五、上訴狀內未表明上訴理由者，上訴人應於提起上訴後20日內提出理由書於原行政法院，未提出者，原　　行政法院會直接裁定駁回上訴。六、對高等行政法院之判決提起上訴，除法律別有規定外，應委任律師為訴訟代理人。七、上訴狀應按被上訴人（對造）人數附具上訴狀繕本。八、繳納裁判費。　　上訴，原則上按件徵收裁判費，適用通常訴訟程序者，每件徵收新臺幣六千元。適用簡易訴訟程序者　　，每件徵收新臺幣三千元。適用交通裁決事件者，每件徵收新臺幣七百五十元(參照行政訴訟法第58條　　、第98條之2、第235條、第236條、第236條之1、第236條之2、第237條之9、第238條、　　第241條、第241條之1、第242條、第243條、第244條、第245條),提起上訴，要注意什麼？
26,為了避免民眾因外出工作、旅遊或有其他事由，不能及時領取訴訟文書，影響訴訟權益，依行政訴訟法規定(參照行政訴訟法第73條)，訴訟文書從寄存在郵局或警察局起，經過10天，才發生送達效力。又因為訴願法準用行政訴訟法送達之規定，所以，提起行政訴訟或上訴，都比較有保障。,臨時不在家，沒收到法院判決，權利會不會受影響？
27,依行政訴訟法規定，訴訟費用是指裁判費及其他必要費用。在起訴或上訴時，原告或上訴人必須先預繳裁判費，但最後則是由敗訴的當事人負擔。 至於繳納裁判費的方式，您除了親臨法院繳費、使用匯票郵寄法院外，到銀行臨櫃繳款、用提款機或網路ATM轉帳，或到便利商店繳費也都可以。 小叮嚀： 您如果利用便利商店繳款，或用提款機或網路ATM轉帳繳費，要注意繳費金額實際入帳時間，是否逾越繳費期限。,誰該負擔訴訟費用？
28,對於依刑事訴訟法第449條行簡易程序所為之裁判不服而上訴或抗告者，依刑事訴訟法第455條之1第1項及第4項規定，應向管轄之第二審地方法院合議庭為之。故大雄如有不服，依智慧財產案件審理法第1條規定適用刑事訴訟法第455條之1，應上訴於管轄之第二審地方法院合議庭，並非上訴於智慧財產法院。,大雄因為寫論文涉及抄襲他人著作權，被第一審地方法院認屬於智慧財產法院組織法第3條第2款所列之智慧財產犯罪，並依簡易程序判決有罪，若大雄對該判決不服，應向何法院提起上訴或抗告？
29,請參考司法院網站智慧財產訴訟新制專區智慧財產案件審理法新制問答彙編。,智慧財產案件審理法新制問答彙編
30,依行政訴訟法規定，下列事件應適用簡易訴訟程序： 因稅捐課徵事件涉訟，所核課之稅額在新臺幣40萬元以下。 因不服行政機關所為新臺幣40萬元以下罰鍰處分而涉訟。 其他關於公法上財產關係之訴訟，其標的之金額或價額在新臺幣40萬元以下。 因不服行政機關所為告誡、警告、記點、計次或其他相類之輕微處分而涉訟。 依法律規定應適用簡易訴訟程序。,什麼案件應適用簡易訴訟程序？
31,對於通常訴訟程序事件的判決提起上訴，由最高行政法院審理。因為是法律審，必須具體指出第一審判決如何違背法令，須有專業法律素養的人才能勝任，所以，採行強制律師代理，原則上應委任律師為訴訟代理人。在稅務或專利事件，除委任律師外，經最高行政法院認為適當者，亦可委任會計師、專利師或專利代理人。但是，如果上訴人或其法定代理人具有律師資格，或為大學院校的公法學教授，因已有相當的行政法學素養，可自為訴訟行為，就無委任訴訟代理人的必要(參照行政訴訴法第241條之1)。,不服法院判決提起上訴，一定要委任訴訟代理人嗎？有無資格限制？
32,依行政訴訟法第96條及行政訴訟閱卷規則第2條規定，包括訴訟當事人、訴訟代理人、輔助參加人或其他經行政法院許可的第三人，都可聲請閱卷。,誰可以聲請閱卷？
33,高等行政法院審理通常訴訟程序事件或地方法院行政訴訟庭審理簡易訴訟程序事件，法院原則上會開庭行言詞辯論，地方法院行政訴訟庭審理交通裁決訴訟事件，得行言詞辯論，但如果卷內事證明確，則可以不用開庭。 至於最高行政法院審理時，原則上是不經言詞辯論，所以無須開庭。但如果訴訟事件的法律關係複雜或法律見解紛歧、涉及專門知識或特殊經驗法則、涉及公益或影響當事人權利義務重大，則得依職權或聲請行言詞辯論。,行政訴訟一定會開庭嗎？
34,別擔心！行政訴訟設有「訴訟救助」制度。也就是如果事件不是「顯無勝訴之望」，而您卻沒錢繳訴訟費用，可以檢附相關證明文件(例如：低收入戶證明書或國稅局出具的財產資料及所得證明等)，向受理訴訟的法院聲請訴訟救助。 小叮嚀： 要特別提醒您，訴訟救助只是暫時先不用繳訴訟費用喔！如果受救助的當事人後來經裁判敗訴而要負擔訴訟費用，仍然有繳納訴訟費用的義務。,沒錢繳裁判費就不能提行政訴訟嗎？
35,在撤銷訴訟類型之行政訴訟中，爭議對象是違法之原行政處分，故依法理而言，在訴訟中所發現之新證據，既未經經濟部智慧財產局審酌，非原行政處分之一部分，即非行政訴訟所應審理之範圍，故於97年7月1日智慧財產案件審理法施行前，發現新證據後須先據以向經濟部智慧財產局重新提起異議、廢止或舉發案，紛爭無法一次解決。為期儘速完整地解決紛爭，智慧財產案件審理法第33條規定，當事人於言詞辯論終結前，就同一撤銷或廢止理由中提出之新證據，智慧財產法院仍應予以審酌。因此，智慧財產案件審理法施行後，當事人得於行政訴訟中提出新證據，無須重新再向經濟部智慧財產局提起異議、廢止或舉發案。,在商標、專利行政訴訟中，才發現有利的新證據時，要不要重新再向經濟部智慧財產局提起異議、廢止或舉發案？
36,基於司法資源屬全民所有，以及使用者付費原則，並考量司法資源的有限性，避免濫行起訴，目前提起行政訴訟，是採少量定額徵收裁判費。小叮嚀： 要特別提醒您，依目前行政訴訟法規定，無論是起訴、上訴、抗告、再審或其他聲請，原則上，當事人都須預納裁判費，如果沒繳，審判長會定期通知當事人繳納，如果逾期未繳，是會被駁回訴訟或聲請的。行政訴訟裁判費項目及金額如下： 行政訴訟裁判費項目及金額,提起行政訴訟要繳裁判費嗎？
37,公務員懲戒委員會審議懲戒案件，依法以書面審理為原則，但為確實瞭解事實真相，使懲戒處分得以公正允當，對於案情複雜、情節重大或事實有待明瞭之案件，必要時會通知被付懲戒人及其他相關人員到場申辯（公務員懲戒法第20條第1項參照），給予被付懲戒人言詞申辯及陳述之機會；另該會於88年12月17日於「公務員懲戒委員會審議懲戒案件應行注意事項」第5點後段明定，公務員懲戒委員會於通知被付懲戒人到場申辯時，被付懲戒人亦得委任律師一人偕同到場陳述意見，以充分保障公務員之權益。,被付懲戒人依公務員懲戒法第20條規定到場申辯時，得否委任律師偕同到場陳述意見?
38,依行政訴訟法第96條及行政訴訟閱卷規則第2條規定，聲請閱卷，可以用書面、電話、傳真或以電子郵件方式為之。 以書面或傳真聲請閱卷，應填「閱卷聲請書」，送或傳送該管法院的收發室或閱卷室。也可以打電話直接向承辦書記官或閱卷室人員約定閱卷時間，或直接以電子傳送方式，向各法院辦理電子傳送作業承辦人的電子信箱提出聲請。,要用什麼方式、向誰聲請閱卷？
39,對於判決不服，應在法院判決送達後20日內，提起上訴；對於裁定不服，除了法律已規定「不得抗告」或「不得聲明不服」的情形外，應在裁定送達後10日內，提起抗告。 提起上訴要提出上訴書狀，敘明上訴理由；提起抗告則要提抗告狀，敘明抗告理由。,我對行政法院的裁判不服，要如何救濟？
40,在言詞辯論期日，如果經合法通知而一造當事人未到場時，到場的當事人可以向法院聲請一造辯論判決；而未到場的當事人，經再次通知仍然未到場，此時，行政法院也可依職權由一造辯論判決。,開言詞辯論庭時，如果沒到場，行政法院會如何處理？
41,一、簡易訴訟程序事件及交通裁決事件之第一審起訴應向管轄之地方法院行政訴訟  庭、通常訴訟程序事　　件之第一審起訴應向管轄之高等行政法院提出訴狀為之。二、起訴狀應表明下列事項：　（一）當事人：　　1.當事人為自然人者，應記載當事人姓名、性別、年齡、身分證明文件字號、職業及住所或居所。　　2.當事人為法人、機關或其他團體者，應記載其名稱及所在地、事務所或營業所。　　3.有法定代理人、代表人或管理人者，應記載其姓名、性別、年齡、身分證明文件字號、職業及住所　　　或居所，及其與法人、機關或團體之關係。　　4.有訴訟代理人者，應記載其姓名、性別、年齡、身分證明文件字號、職業及住所或居所，並請附上　　　「行政訴訟委任書」。　（二）起訴之聲明。　（三）訴訟標的及其原因事實、證據、相關法律規定。　（四）附屬文件及其件數，如經訴願程序者，應附具訴願決定書。　（五）行政法院。　（六）年、月、日。三、當事人、法定代理人、代表人、管理人或訴訟代理人應於訴狀內簽名或蓋章，如以指印代替簽名時，　　應由他人代寫姓名，記明其事由並簽名。四、訴狀內宜記載適用程序上有關事項、證據方法及其他準備言詞辯論之事項。五、起訴狀應按被告人數附具起訴狀繕本（含附屬文件）。六、起訴有無逾越法定期限，除法律別有規定外，均以行政法院收受訴狀之時間為準。七、繳納裁判費　　起訴，適用通常訴訟程序之事件，按件徵收裁判費新臺幣四千元。適用簡易訴訟程序之事件，徵收裁　　判費新臺幣二千元。交通裁決事件，按件徵收新臺幣三百元(參照行政訴訟法第57條、第58條、第59條　　、第98條、第105條、第237條之5第1項第1款),提起行政訴訟，要注意什麼？
42,在開庭期日，原則上不得聲請閱卷。但如果聲請人釋明有急迫情形，而且經審判長許可者，則例外可於開庭期日聲請。 此外，行政訴訟事件於裁判後，提起上訴或抗告前，亦可聲請閱卷。提起上訴或抗告後，如果聲請人向原審法院聲請閱卷，而卷宗仍在原審法院，原審法院應依規定准許。原審法院的書記官應該將卷宗交閱後，再送上級行政法院。如果卷宗已送交上級行政法院，原審法院會將閱卷聲請書送交上級行政法院處理。,是不是任何時間都可以閱卷？
43,為確認訴訟代理人是否經當事人合法授權，而得聲請閱卷，所以，訴訟代理人除了事先已提出委任狀於行政法院，或是經審判長選任者外，於聲請閱卷同時，應檢附委任書。,訴訟代理人聲請閱卷，要注意什麼？
44,想進一步了解行政訴訟制度，包括法令規範、研修經過、相關統計資料或是活動訊息，可以到司法院首頁-「業務綜覽」項下的「行政訴訟專區」瀏覽。,想進一步了解行政訴訟制度？有其他疑問或建議嗎？
45,聲請解釋憲法，須具備以下條件：憲法上所保障之權利，有遭受不法侵害的情形。經過法定的訴訟程序，並在用盡審級救濟途徑後，取得最終確定終局裁判。如果依法可以上訴而未上訴以致裁判確定，就是沒有用盡審級救濟途徑，也就不可以根據此種裁判提出聲請。認為確定終局裁判所適用的法律或命令，有牴觸憲法的疑義。具備以上條件，可以書面向司法院聲請解釋憲法。(參考法條：司法院大法官審理案件法第五條第一項第二款及第八條) ＊聲請人提請釋憲之確定終局裁判有再審期間者，提出聲請書時起至再審期間屆至，宜有六個月以上期間，俾有合理時間進行審理。,在何種條件下可聲請解釋憲法？
